Movie Name,Genre,Rating,Votes,Duration
Abigail,Unknown,6.5,115000.0,Unknown
The Substance,Unknown,7.2,408000.0,Unknown
The Life of Chuck,Unknown,7.3,62000.0,Unknown
Dune: Part Two,Unknown,8.4,720000.0,Unknown
Eden,Unknown,6.5,41000.0,Unknown
Anora,Unknown,7.4,265000.0,Unknown
We Bury the Dead,Unknown,5.6,8900.0,Unknown
Blink Twice,Unknown,6.5,127000.0,Unknown
Furiosa: A Mad Max Saga,Unknown,7.5,316000.0,Unknown
Relay,Unknown,7.0,31000.0,Unknown
Deadpool & Wolverine,Unknown,7.5,558000.0,Unknown
Nosferatu,Unknown,7.1,261000.0,Unknown
The Fall Guy,Unknown,6.8,253000.0,Unknown
Heretic,Unknown,7.0,219000.0,Unknown
The Beekeeper,Unknown,6.3,177000.0,Unknown
The Ministry of Ungentlemanly Warfare,Unknown,6.8,155000.0,Unknown
Cellar Door,Unknown,5.2,6700.0,Unknown
Trap,Unknown,5.8,162000.0,Unknown
The Wild Robot,Unknown,8.2,216000.0,Unknown
A Complete Unknown,Unknown,7.3,115000.0,Unknown
Civil War,Unknown,7.0,264000.0,Unknown
The Brutalist,Unknown,7.2,134000.0,Unknown
Bone Lake,Unknown,5.6,12000.0,Unknown
Wicked,Unknown,7.3,226000.0,Unknown
Kinds of Kindness,Unknown,6.4,70000.0,Unknown
Gladiator II,Unknown,6.5,291000.0,Unknown
Conclave,Unknown,7.4,254000.0,Unknown
Longlegs,Unknown,6.5,220000.0,Unknown
Babygirl,Unknown,5.8,79000.0,Unknown
Sonic the Hedgehog 3,Unknown,6.9,78000.0,Unknown
2073,Unknown,5.1,4000.0,Unknown
Sleeping Dogs,Unknown,6.2,26000.0,Unknown
Big World,Unknown,7.5,2200.0,Unknown
Challengers,Unknown,7.0,175000.0,Unknown
Alien: Romulus,Unknown,7.1,282000.0,Unknown
I Was a Stranger,Unknown,8.5,11000.0,Unknown
Speak No Evil,Unknown,6.8,130000.0,Unknown
Wolfs,Unknown,6.5,102000.0,Unknown
Small Things Like These,Unknown,6.7,36000.0,Unknown
Twisters,Unknown,6.5,192000.0,Unknown
I'm Still Here,Unknown,8.1,145000.0,Unknown
Kraven the Hunter,Unknown,5.5,79000.0,Unknown
IF,Unknown,6.4,65000.0,Unknown
It Ends with Us,Unknown,6.3,99000.0,Unknown
Ordinary Angels,Unknown,7.4,19000.0,Unknown
Fly Me to the Moon,Unknown,6.6,58000.0,Unknown
Friendship,Unknown,6.6,38000.0,Unknown
Joker: Folie à Deux,Unknown,5.2,180000.0,Unknown
Ghostbusters: Frozen Empire,Unknown,6.1,104000.0,Unknown
Shell,Unknown,4.9,3500.0,Unknown
MaXXXine,Unknown,6.2,85000.0,Unknown
The Order,Unknown,6.8,60000.0,Unknown
The Watchers,Unknown,5.7,68000.0,Unknown
Road House,Unknown,6.2,182000.0,Unknown
Caddo Lake,Unknown,6.8,53000.0,Unknown
Flow,Unknown,7.9,124000.0,Unknown
The Count of Monte-Cristo,Unknown,7.6,47000.0,Unknown
We Live in Time,Unknown,7.0,71000.0,Unknown
Godzilla x Kong: The New Empire,Unknown,6.0,133000.0,Unknown
Madame Web,Unknown,4.1,113000.0,Unknown
Smile 2,Unknown,6.7,137000.0,Unknown
The Idea of You,Unknown,6.3,83000.0,Unknown
Juror #2,Unknown,7.0,123000.0,Unknown
Carry-On,Unknown,6.5,191000.0,Unknown
Borderlands,Unknown,4.7,57000.0,Unknown
He's Watching You,Unknown,4.7,378000.0,Unknown
Beetlejuice Beetlejuice,Unknown,6.6,172000.0,Unknown
Strange Harvest,Unknown,6.3,5200.0,Unknown
Megalopolis,Unknown,4.7,41000.0,Unknown
Despicable Me 4,Unknown,6.2,77000.0,Unknown
The Apprentice,Unknown,7.1,72000.0,Unknown
Inside Out 2,Unknown,7.5,246000.0,Unknown
A Real Pain,Unknown,7.0,139000.0,Unknown
