Movie Name,Rating,Votes,Duration
Abigail,6.5,115000.0,Unknown
The Substance,7.2,408000.0,Unknown
The Life of Chuck,7.3,62000.0,Unknown
Dune: Part Two,8.4,720000.0,Unknown
Eden,6.5,41000.0,Unknown
Anora,7.4,265000.0,Unknown
We Bury the Dead,5.6,8900.0,Unknown
Blink Twice,6.5,127000.0,Unknown
Furiosa: A Mad Max Saga,7.5,316000.0,Unknown
Relay,7.0,31000.0,Unknown
Deadpool & Wolverine,7.5,558000.0,Unknown
Nosferatu,7.1,261000.0,Unknown
The Fall Guy,6.8,253000.0,Unknown
Heretic,7.0,219000.0,Unknown
The Beekeeper,6.3,177000.0,Unknown
The Ministry of Ungentlemanly Warfare,6.8,155000.0,Unknown
Cellar Door,5.2,6700.0,Unknown
Trap,5.8,162000.0,Unknown
The Wild Robot,8.2,216000.0,Unknown
A Complete Unknown,7.3,115000.0,Unknown
Civil War,7.0,264000.0,Unknown
The Brutalist,7.2,134000.0,Unknown
Bone Lake,5.6,12000.0,Unknown
Wicked,7.3,226000.0,Unknown
Kinds of Kindness,6.4,70000.0,Unknown
Gladiator II,6.5,291000.0,Unknown
Conclave,7.4,254000.0,Unknown
Longlegs,6.5,220000.0,Unknown
Babygirl,5.8,79000.0,Unknown
Sonic the Hedgehog 3,6.9,78000.0,Unknown
2073,5.1,4000.0,Unknown
Sleeping Dogs,6.2,26000.0,Unknown
Big World,7.5,2200.0,Unknown
Challengers,7.0,175000.0,Unknown
Alien: Romulus,7.1,282000.0,Unknown
I Was a Stranger,8.5,11000.0,Unknown
Speak No Evil,6.8,130000.0,Unknown
Wolfs,6.5,102000.0,Unknown
Small Things Like These,6.7,36000.0,Unknown
Twisters,6.5,192000.0,Unknown
I'm Still Here,8.1,145000.0,Unknown
Kraven the Hunter,5.5,79000.0,Unknown
IF,6.4,65000.0,Unknown
It Ends with Us,6.3,99000.0,Unknown
Ordinary Angels,7.4,19000.0,Unknown
Fly Me to the Moon,6.6,58000.0,Unknown
Friendship,6.6,38000.0,Unknown
Joker: Folie à Deux,5.2,180000.0,Unknown
Ghostbusters: Frozen Empire,6.1,104000.0,Unknown
Shell,4.9,3500.0,Unknown
MaXXXine,6.2,85000.0,Unknown
The Order,6.8,60000.0,Unknown
The Watchers,5.7,68000.0,Unknown
Road House,6.2,182000.0,Unknown
Caddo Lake,6.8,53000.0,Unknown
Flow,7.9,124000.0,Unknown
The Count of Monte-Cristo,7.6,47000.0,Unknown
We Live in Time,7.0,71000.0,Unknown
Godzilla x Kong: The New Empire,6.0,133000.0,Unknown
Madame Web,4.1,113000.0,Unknown
Smile 2,6.7,137000.0,Unknown
The Idea of You,6.3,83000.0,Unknown
Juror #2,7.0,123000.0,Unknown
Carry-On,6.5,191000.0,Unknown
Borderlands,4.7,57000.0,Unknown
He's Watching You,4.7,378000.0,Unknown
Beetlejuice Beetlejuice,6.6,172000.0,Unknown
Strange Harvest,6.3,5200.0,Unknown
Megalopolis,4.7,41000.0,Unknown
Despicable Me 4,6.2,77000.0,Unknown
The Apprentice,7.1,72000.0,Unknown
Inside Out 2,7.5,246000.0,Unknown
A Real Pain,7.0,139000.0,Unknown
Kung Fu Panda 4,6.3,80000.0,Unknown
Venom: The Last Dance,6.0,152000.0,Unknown
A Quiet Place: Day One,6.3,172000.0,Unknown
Moana 2,6.3,123000.0,Unknown
Bad Boys: Ride or Die,6.5,112000.0,Unknown
Rebel Ridge,6.8,101000.0,Unknown
Oddity,6.7,56000.0,Unknown
Tarot,4.8,38000.0,Unknown
The Lord of the Rings: The War of the Rohirrim,6.3,39000.0,Unknown
Scared to Death,5.5,65000.0,Unknown
It's What's Inside,6.6,50000.0,Unknown
Role Play,5.5,20000.0,Unknown
I Saw the TV Glow,5.8,44000.0,Unknown
Subservience,5.4,35000.0,Unknown
The Instigators,6.2,43000.0,Unknown
Horizon: An American Saga - Chapter 1,6.6,45000.0,Unknown
September 5,7.1,36000.0,Unknown
Argylle,5.6,99000.0,Unknown
Damsel,6.1,118000.0,Unknown
Reunion,5.6,6300.0,Unknown
Tell Me What You Want,4.0,2300.0,Unknown
K-Pops!,6.0,153000.0,Unknown
Transformers One,7.6,63000.0,Unknown
The Ties That Bind Us,7.2,1800.0,Unknown
Scoop,6.5,22000.0,Unknown
Shelby Oaks,5.4,11000.0,Unknown
Fight or Flight,6.4,25000.0,Unknown
Mufasa: The Lion King,6.6,81000.0,Unknown
The Assessment,6.6,22000.0,Unknown
Kingdom of the Planet of the Apes,6.8,167000.0,Unknown
Spaceman,5.7,47000.0,Unknown
